parameter_name,Glucose
parameter_id,IMPC_CBC_018_001
gene_symbol,Rab3gap2
mouse_strain,C57BL
analysis_id,29ya48rm3cjc6l8
mouse_life_stage,Early adult
gene_accession_id,MGI:1916043
pvalue,0.8404366
