parameter_name,Cleft palate
gene_accession_id,MGI:1915848
pvalue,0.1077854
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_GEP_076_001
gene_symbol,Dnajc8
analysis_id,5l5015k9m798ri5
