parameter_name,Midbrain
mouse_strain,C57BL
mouse_life_stage,E18.5
gene_accession_id,MGI:2446186
pvalue,0.2612081
analysis_id,s0853en63373c52
gene_symbol,Lpgat1
parameter_id,IMPC_GEL_029_001
