analysis_id,gm1q6m2qmoma5kd
gene_symbol,Rhbg
parameter_id,IMPC_XRY_024_001
mouse_strain,C57BL
parameter_name,Femur
gene_accession_id,MGI:1927379
mouse_life_stage,Early adult
pvalue,0.985049
