parameter_name,Radius
mouse_strain,C57BL
analysis_id,54rvc56g8e1z74a
parameter_id,IMPC_XRY_022_001
pvalue,0.6930549
mouse_life_stage,Early adult
gene_accession_id,MGI:2442483
gene_symbol,Usp37
