analysis_id,1p345y35t9298y1
parameter_id,MGP_MLN_033_001
gene_accession_id,MGI:97054
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6327315
parameter_name,Resting NK cells - % of NK cells
gene_symbol,Mov10
