analysis_id,61u40054x0l3n4h
pvalue,0.2329963
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1925049
parameter_name,Fat/Body weight
gene_symbol,Sla2
parameter_id,IMPC_DXA_009_001
