gene_symbol,Sema6c
analysis_id,jt01v1l7ny567a3
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Hindlimbs - shape
pvalue,0.1409185
gene_accession_id,MGI:1338032
parameter_id,JAXLA_CSD_021_001
