gene_symbol,Stk35
parameter_name,Heart weight
parameter_id,IMPC_HWT_008_001
analysis_id,65y686v7mh9mish
pvalue,0.4925287
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914583
