analysis_id,p59525b6xe5y658
gene_symbol,Tiprl
parameter_id,MGP_MLN_093_001
gene_accession_id,MGI:1915087
pvalue,0.8261471
parameter_name,KLRG1+ NK cells - % of CD45+
mouse_life_stage,E12.5
mouse_strain,C57BL
