parameter_name,Percent time in light
pvalue,0.1385257
gene_accession_id,MGI:88174
parameter_id,JAX_LDT_009_001
analysis_id,nhawbez9khcdi13
gene_symbol,Bmi1
mouse_strain,C57BL
mouse_life_stage,Early adult
