analysis_id,5tn32tx08ut1pa3
mouse_strain,C57BL
gene_symbol,Dmap1
pvalue,0.3168953
parameter_id,MGP_MLN_058_001
parameter_name,Plasmacytoid DC - % of DC
gene_accession_id,MGI:1913483
mouse_life_stage,E12.5
