gene_symbol,Steap3
pvalue,0.5934288
gene_accession_id,MGI:1915678
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Femur
analysis_id,137gi47054dxuw7
parameter_id,IMPC_XRY_024_001
