gene_symbol,Usp37
parameter_id,IMPC_GEO_011_001
gene_accession_id,MGI:2442483
analysis_id,hy5ioecikcno123
mouse_life_stage,Early adult
pvalue,0.7516872
mouse_strain,C57BL
parameter_name,Blood Vessel Morphology
