gene_symbol,Rap2b
analysis_id,07s57c720m9418x
mouse_strain,C57BL
pvalue,0.2303545
gene_accession_id,MGI:1921262
mouse_life_stage,Early adult
parameter_name,Total CD8+ T cells - % of ab T cells
parameter_id,MGP_IMM_013_001
