parameter_name,Joints
analysis_id,777x84c4e1k8295
gene_accession_id,MGI:1888742
pvalue,0.6464425
gene_symbol,Extl1
parameter_id,IMPC_XRY_027_001
mouse_strain,C57BL
mouse_life_stage,Early adult
