parameter_name,Time immobile
mouse_strain,C57BL
gene_symbol,Mapkap1
parameter_id,JAX_TLS_001_001
mouse_life_stage,E15.5
analysis_id,1u6m7s05140d9s8
pvalue,0.8912971
gene_accession_id,MGI:2444554
