analysis_id,gmsqa09e58h15jc
gene_symbol,Frmpd1
parameter_name,CD11b-high cDC - % of cDC
parameter_id,MGP_IMM_066_001
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:2446274
pvalue,0.7971911
