analysis_id,l030g27639z9741
pvalue,0.7219998
gene_accession_id,MGI:96757
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAXLA_DXA_009_001
parameter_name,Fat/Body weight
gene_symbol,Lcn2
