analysis_id,2wp5l9o53666fd6
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:109384
parameter_id,MGP_CSD_025_001
parameter_name,Ventral coat/hair presence
pvalue,0.07522952
gene_symbol,Atf3
