parameter_name,Alanine aminotransferase
analysis_id,1364mk0geuv78a6
mouse_strain,C57BL
parameter_id,IMPC_CBC_013_001
mouse_life_stage,E18.5
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
pvalue,0.07717728
