parameter_name,Hindlimbs - size
parameter_id,JAXLA_CSD_022_001
mouse_life_stage,Early adult
analysis_id,du42yt3453c9s2x
mouse_strain,C57BL
gene_symbol,Bmi1
pvalue,0.7593047
gene_accession_id,MGI:88174
