gene_symbol,Il1r1
analysis_id,p82nw46kt6k3j92
parameter_id,HMGULA_HWT_008_001
mouse_strain,C57BL
pvalue,0.3454879
gene_accession_id,MGI:96545
parameter_name,Heart weight
mouse_life_stage,Early adult
