analysis_id,e5om8315cv8g271
mouse_strain,C57BL
gene_symbol,Wars2
mouse_life_stage,E12.5
parameter_id,JAXLA_DXA_003_001
parameter_name,Lean mass
pvalue,0.2084608
gene_accession_id,MGI:1917810
