parameter_name,Global prepulse inhibition
parameter_id,ESLIM_011_001_705
mouse_life_stage,Late adult
pvalue,0.2858727
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
mouse_strain,C57BL
analysis_id,3k7ql86fl45cro3
