gene_symbol,Kcng1
parameter_name,Effector CD8+ T cells - % of CD45+
gene_accession_id,MGI:3616086
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_081_001
analysis_id,q0y50r9ek46098d
pvalue,0.8746462
