gene_symbol,Tbl1xr1
mouse_strain,C57BL
parameter_name,Alanine aminotransferase
analysis_id,580n6r0rw98i81t
pvalue,0.625895
gene_accession_id,MGI:2441730
parameter_id,IMPC_CBC_013_001
mouse_life_stage,Late adult
