parameter_name,BMC/Body weight
gene_symbol,Rufy4
gene_accession_id,MGI:3588214
pvalue,0.5414904
parameter_id,IMPC_DXA_007_001
analysis_id,xzy4s5hk925mt30
mouse_strain,C57BL
mouse_life_stage,Early adult
