parameter_name,Chloride
mouse_life_stage,Early adult
analysis_id,vih54y73hqo4273
mouse_strain,C57BL
gene_accession_id,MGI:2444777
gene_symbol,Ncaph
pvalue,0.2104709
parameter_id,IMPC_CBC_003_001
