analysis_id,778948s14ho1h44
parameter_id,JAXLA_CSD_022_001
gene_symbol,Hpca
mouse_life_stage,Middle aged adult
parameter_name,Hindlimbs - size
gene_accession_id,MGI:1336200
mouse_strain,C57BL
pvalue,0.8809844
