analysis_id,8c05cijc8z75726
parameter_id,M-G-P_020_001_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3829721
parameter_name,Body Weight
gene_symbol,Cpa3
gene_accession_id,MGI:88479
