parameter_name,LVIDd
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1921493
analysis_id,89c3di7mmixvyo9
gene_symbol,Slx4ip
parameter_id,IMPC_ECH_008_001
pvalue,0.808214
