parameter_name,Periphery resting time
parameter_id,IMPC_OFD_011_001
gene_symbol,Alkbh3
analysis_id,2hg82562u7dv4x1
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1916363
pvalue,0.8986914
