parameter_name,Glucose
parameter_id,HMGULA_CBC_018_001
mouse_strain,C57BL
pvalue,0.4498623
gene_symbol,Ahctf1
analysis_id,770p7x79yp5mf23
gene_accession_id,MGI:1915033
mouse_life_stage,Early adult
