gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
parameter_name,Heart weight
mouse_life_stage,Late adult
parameter_id,IMPC_HWT_008_001
pvalue,0.3872193
analysis_id,732k4ay33v2yvm1
mouse_strain,C57BL
