analysis_id,t71bh45r5727ecb
mouse_life_stage,Early adult
parameter_name,Blood Vessel Morphology
mouse_strain,C57BL
gene_accession_id,MGI:1914050
parameter_id,IMPC_GEO_011_001
gene_symbol,Trp53rkb
pvalue,0.06350167
