parameter_name,Head morphology
mouse_strain,C57BL
parameter_id,MGP_CSD_064_001
gene_symbol,Ncaph
analysis_id,a8u6agyskx8o6r9
gene_accession_id,MGI:2444777
mouse_life_stage,Early adult
pvalue,0.5916459
