analysis_id,zd50ji99a8z1815
mouse_life_stage,Early adult
gene_symbol,Col6a3
parameter_id,IMPC_XRY_021_001
pvalue,0.3119106
mouse_strain,C57BL
parameter_name,Humerus
gene_accession_id,MGI:88461
