analysis_id,u0djflz0220r14d
mouse_strain,C57BL
gene_symbol,Lurap1
pvalue,0.3828922
mouse_life_stage,Early adult
gene_accession_id,MGI:1915325
parameter_id,ESLIM_016_001_002
parameter_name,Red blood cell count
