parameter_name,Delayed embryonic development
gene_symbol,Trpa1
gene_accession_id,MGI:3522699
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,64y08a6rdbwlkmh
pvalue,0.7906448
parameter_id,IMPC_GEL_063_001
