gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
mouse_strain,C57BL
parameter_id,MGP_MLN_032_001
parameter_name,Effector NK cells - % of NK cells
analysis_id,p5zi33g54zncv7c
mouse_life_stage,Early adult
pvalue,0.5349648
