gene_symbol,Rufy4
mouse_life_stage,Early adult
pvalue,0.851425
analysis_id,pkc764f5si0g923
parameter_name,Edema
parameter_id,IMPC_GEO_064_001
mouse_strain,C57BL
gene_accession_id,MGI:3588214
