analysis_id,l635i3950896e88
parameter_name,Bone Area
mouse_strain,C57BL
parameter_id,IMPC_DXA_010_001
gene_accession_id,MGI:87968
pvalue,0.4172532
gene_symbol,Ahcy
mouse_life_stage,E12.5
