analysis_id,1ytgog3s9ewk563
gene_symbol,Zmynd8
parameter_id,IMPC_GEL_027_001
pvalue,0.3150344
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Neural tube closure
gene_accession_id,MGI:1918025
