mouse_life_stage,Early adult
parameter_id,MGP_MLN_009_001
pvalue,0.05631626
mouse_strain,C57BL
analysis_id,ktuk1c5iod6057j
gene_symbol,Tnfsf8
gene_accession_id,MGI:88328
parameter_name,Effector Treg cells - % of Treg
