gene_symbol,Pld1
mouse_life_stage,Early adult
analysis_id,40to3opp7040ifn
gene_accession_id,MGI:109585
pvalue,0.9202991
parameter_name,PP4 + pulse startle magnitude
mouse_strain,C57BL
parameter_id,ESLIM_011_001_010
