analysis_id,62971kz334g65m7
gene_symbol,Npbwr1
parameter_id,IMPC_ACS_036_001
pvalue,0.5005493
gene_accession_id,MGI:891989
mouse_life_stage,Early adult
parameter_name,% Pre-pulse inhibition - PPI4
mouse_strain,C57BL
