gene_symbol,Tbl1xr1
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,t831rr14df70201
pvalue,0.09992163
parameter_id,IMPC_GEL_029_001
parameter_name,Midbrain
gene_accession_id,MGI:2441730
