analysis_id,xs886htzqjt1j78
gene_symbol,Psd4
mouse_life_stage,Early adult
gene_accession_id,MGI:2674093
parameter_name,Body Weight
mouse_strain,C57BL
pvalue,0.05677404
parameter_id,M-G-P_012_001_005
