analysis_id,0q7n7t192i9tgdb
gene_accession_id,MGI:1913483
pvalue,0.6354812
gene_symbol,Dmap1
parameter_id,JAX_OFD_017_001
parameter_name,Center average speed
mouse_strain,C57BL
mouse_life_stage,Early adult
