analysis_id,9wk9dy52mf9x082
mouse_life_stage,Early adult
pvalue,0.1802214
gene_accession_id,MGI:1338022
parameter_id,IMPC_CBC_014_001
parameter_name,Alkaline phosphatase
mouse_strain,C57BL
gene_symbol,Opn3
