gene_symbol,Gpa33
gene_accession_id,MGI:1891703
parameter_id,HRWLLA_OFD_020_001
analysis_id,e5n1jnhbtxb748q
pvalue,0.6685864
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Distance travelled - total
