analysis_id,9g32475m23ff4c7
pvalue,0.7521567
parameter_id,ESLIM_011_001_002
gene_symbol,Bmi1
gene_accession_id,MGI:88174
parameter_name,PP1 startle magnitude
mouse_strain,C57BL
mouse_life_stage,Early adult
