parameter_name,Neutrophils
parameter_id,IMPC_IMM_050_001
gene_accession_id,MGI:1913483
mouse_life_stage,E12.5
analysis_id,pik2u05rlt899z9
gene_symbol,Dmap1
mouse_strain,C57BL
pvalue,0.07040053
