parameter_id,JAX_ROT_002_001
mouse_strain,C57BL
parameter_name,Average duration
gene_symbol,Alkbh3
analysis_id,o1i4yw88obtm0i9
mouse_life_stage,Early adult
pvalue,0.7057193
gene_accession_id,MGI:1916363
