gene_symbol,Rhbg
parameter_id,M-G-P_008_001_013
pvalue,0.5861123
parameter_name,Startle Response
mouse_strain,C57BL
gene_accession_id,MGI:1927379
mouse_life_stage,Early adult
analysis_id,s6o3gfo4a7t2423
