parameter_id,TCPLA_GRS_011_001
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_life_stage,E9.5
analysis_id,pw407xt3ha6g677
pvalue,0.1629498
gene_symbol,Cdin1
gene_accession_id,MGI:3026886
mouse_strain,C57BL
