gene_symbol,Bach2
gene_accession_id,MGI:894679
pvalue,0.3423161
mouse_strain,C57BL
parameter_name,Haemoglobin
parameter_id,ESLIM_016_001_003
analysis_id,be7220785ai0731
mouse_life_stage,Early adult
