analysis_id,3b5v576ej6q95wv
pvalue,0.9239819
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Traf6
parameter_id,IMPC_GEL_060_001
gene_accession_id,MGI:108072
parameter_name,Neural tube morphology
