gene_symbol,DNAJC5B
analysis_id,5e87592qpa2i0tp
parameter_id,MGP_IMM_110_001
pvalue,0.5487739
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Transitional 1 B cells - % of CD45+
gene_accession_id,MGI:1913576
