parameter_name,Percent time in light
analysis_id,9t05zd2gznx2144
mouse_strain,129SV
gene_accession_id,MGI:1923959
mouse_life_stage,Early adult
gene_symbol,Arpc2
parameter_id,JAX_LDT_009_001
pvalue,0.2115383
