gene_symbol,Bpifa3
mouse_strain,C57BL
analysis_id,002l1nvw5pr779h
pvalue,0.8205373
mouse_life_stage,Early adult
parameter_id,MGP_IMM_081_001
gene_accession_id,MGI:1920638
parameter_name,Effector CD8+ T cells - % of CD45+
