parameter_name,Head morphology
mouse_life_stage,E18.5
analysis_id,v585f9g658w5o0k
gene_symbol,Zyg11b
mouse_strain,C57BL
parameter_id,MGP_CSD_064_001
gene_accession_id,MGI:2685277
pvalue,0.3216823
