gene_symbol,Dnajc6
gene_accession_id,MGI:1919935
parameter_name,Potassium
pvalue,0.3292695
analysis_id,8g8w49xhrgsfj2f
parameter_id,GMC_906_001_005
mouse_life_stage,Early adult
mouse_strain,C57BL
